id,name,created_at,country_id,focal_user_id,jira_company_id
"a081dfb0-8d3a-4e6f-be15-a3d1808eb62f","2AAZ","2025-11-27 14:57:57.31057+00","","",""
"894a0a9b-9409-4504-8ed1-ca3016642116","AFREX/MEHO CAPITAL","2025-11-27 14:57:57.842644+00","","",""
"cdbb200c-a5af-4c51-b1f9-1fb176e80a65","AFRIC URBA","2025-11-27 14:57:58.198663+00","","",""
"020b1f8c-d233-4853-abdc-8b14e455e882","ALL","2025-12-09 20:05:20.451036+00","","",""
"c6eec27f-e2a1-4630-b776-c9ca8334277c","ARIC","2025-11-27 14:57:58.554947+00","","",""
"c517b903-4661-43c5-b3d0-86e95879fc1f","ARTIS HOLDING","2025-12-08 16:34:13.750669+00","","",""
"694c9b22-adf0-45c0-9f0f-1b499d387977","CILAGRI","2025-11-27 14:57:59.271229+00","","",""
"fe33ea05-8beb-4d77-8c67-bd0994ce14e9","CIP","2025-11-27 14:57:59.624794+00","","",""
"e2a1ed67-21f7-49d0-8619-1fec20d425d2","COMOE","2025-12-09 20:05:20.451036+00","","",""
"3a707152-1d9b-41c1-8dd5-ff8e04c2e43d","CSCTICAO","2025-11-27 14:57:59.985851+00","","",""
"caa10f0f-6de6-43f5-99dd-65d37c418687","ECORIGINE","2025-11-27 14:58:00.346388+00","","",""
"7e5cbfaa-1fdc-4a64-ab28-51faa327e23e","EDIPRESSE","2025-11-27 14:58:00.687485+00","","",""
"e9c42cf0-1782-4e68-85c5-e7e7ed39568b","EGBV","2025-11-27 14:58:01.033947+00","","",""
"c67ed264-849b-4fb6-9e6e-f8a7ed6ca903","EJARA","2025-11-27 14:58:01.38074+00","","",""
"dc3aed59-eecb-4966-bc4d-d462440ee73b","ELIO GROUP","2025-11-27 14:58:01.762764+00","","",""
"519ec65b-4526-4540-ae38-26dbcbad6917","ENVAL LABORATOIRE","2025-11-27 14:58:02.225806+00","","",""
"4a450958-4ba4-4577-9e9b-c56a0855d496","ENVIPUR","2025-11-27 14:58:02.593323+00","","",""
"fff4f6d3-a1d5-44a8-89fb-61a58fb6fa47","ETRAKOM-CI","2025-11-27 14:58:02.93373+00","","",""
"068573c1-5c63-42d1-a987-fc6cb93b5f1f","ETS MAB","2025-11-27 14:58:03.277484+00","","",""
"069d0b62-cc54-4f0f-bca3-8a6f82cc102b","FALCON","2025-11-27 14:58:03.639401+00","","",""
"fc77dfc5-0c15-43e5-9676-2b955a47c067","FIRST CAPITAL","2025-11-27 14:58:03.998742+00","","",""
"61a228f1-89fe-4363-9c72-131c438292cb","IVOIRE DEVELOPPEMENT","2025-11-27 14:58:05.106643+00","","",""
"91e3ce7c-5a61-44e2-8dbf-ef3bd82223a2","JOEL K PROPERTIES","2025-11-27 14:58:05.851269+00","","",""
"3ac8cf28-e98b-4675-9bab-34eaf441c251","KOFFI & DIABATE","2025-11-27 14:58:06.195903+00","","",""
"1ec41f35-f404-4a90-a880-7fbced374ac3","KORI TRANSPORT","2025-11-27 14:58:06.551096+00","","",""
"2feb0bc6-4faa-443f-bfcd-528e464055e5","LABOGEM","2025-11-27 14:58:06.900716+00","","",""
"2d652d1b-97a1-446a-bd71-f2cea31fff35","LK HOLDING","2025-12-09 20:14:32.582986+00","","",""
"2c75e95e-e6b7-4f3f-887e-097d984dd4d8","M YAKICE","2025-12-09 20:05:20.451036+00","","",""
"174156e8-f568-45f2-8242-fe5b68b733b8","MATRELEC","2025-11-27 14:58:07.250567+00","","",""
"55dddd2e-c02d-4db0-b889-6fab597339e9","ONPOINT","2025-11-27 19:58:30.368639+00","eee67ac6-cf96-4836-8b43-48042f991e97","c87e119d-70c7-489a-83c6-1a7a485856ce","10028"
"c8936e45-2580-4f66-ba45-096f5b87af07","OTOMASYS","2025-11-27 14:58:08.655138+00","","",""
"92de31f0-af59-434b-8c3a-510cb89419dd","PROPERTY KRO","2025-11-27 14:58:09.028594+00","","",""
"2ca869ba-4382-490c-9327-4ba4de5799cd","ROCFED","2025-11-27 14:58:09.904119+00","","",""
"f00409a4-268a-45bf-acff-b9ea4afa60f1","S-TEL","2025-11-27 14:58:10.2912+00","","",""
"29b00e59-32cb-446e-8f31-687186d68859","SCI RIMY","2025-12-10 13:17:57.522896+00","","",""
"96d5eb6a-60ae-471c-bb25-3b6a82090ec2","SERTEM","2025-11-27 14:58:10.663892+00","","",""
"953c78da-a238-4d3b-be77-b88fb2574fc5","SIAM","2025-12-08 16:34:13.750669+00","","",""
"3184cfb7-4154-4c34-85cd-7d70a2040782","SIE-TRAVAUX","2025-11-27 14:58:11.020396+00","","",""
"7c3f4b81-4407-40f3-a97e-dd75339b9d5e","SIS","2025-11-27 14:58:11.400802+00","","",""
"aceab3a6-98a6-453e-83f4-5534bd4c3c83","SIT BTP","2025-11-27 14:58:11.765641+00","","",""
"55a7945f-8301-4610-a77d-c51e36a17a73","VENUS DISTRIBUTION","2025-11-27 14:58:12.518828+00","","",""
"9bf5c51c-3837-41f1-8481-51c784927f0c","WATSAN","2025-12-09 20:14:09.557868+00","","",""
"3ba35461-f427-43ec-a721-96d491e02e19","WITTI","2025-12-09 20:05:20.451036+00","","",""
